Hazardous substance,pounds,kilograms
F011,10,4.54
F012,10,4.54
F019,10,4.54
F020,1,0.454
F021,1,0.454
F022,1,0.454
F023,1,0.454
F024,1,0.454
F025,1,0.454
F026,1,0.454
F027,1,0.454
F028,1,0.454
F032,1,0.454
F034,1,0.454
F035,1,0.454
F037,1,0.454
F038,1,0.454
F039,1,0.454
K001,1,0.454
K002,10,4.54
K003,10,4.54
K004,10,4.54
K005,10,4.54
K006,10,4.54
K007,10,4.54
K008,10,4.54
K009,10,4.54
K010,10,4.54
K011,10,4.54
K013,10,4.54
K014,5000,2270
K015,10,4.54
K016,1,0.454
K017,10,4.54
K018,1,0.454
K019,1,0.454
K020,1,0.454
K021,10,4.54
K022,1,0.454
K023,5000,2270
K024,5000,2270
K025,10,4.54
K026,1000,454
K027,10,4.54
K028,1,0.454
K029,1,0.454
K030,1,0.454
K031,1,0.454
K032,10,4.54
K033,10,4.54
K034,10,4.54
K035,1,0.454
K036,1,0.454
K037,1,0.454
K038,10,4.54
K039,10,4.54
K040,10,4.54
K041,1,0.454
K042,10,4.54
K043,10,4.54
K044,10,4.54
K045,10,4.54
K046,10,4.54
K047,10,4.54
K048,10,4.54
K049,10,4.54
K050,10,4.54
K051,10,4.54
K052,10,4.54
K060,1,0.454
K061,10,4.54
K062,10,4.54
K064,10,4.54
K065,10,4.54
K066,10,4.54
K069,10,4.54
K071,1,0.454
K073,10,4.54
K083,100,45.4
K084,1,0.454
K085,10,4.54
K086,10,4.54
K087,100,45.4
K088,10,4.54
K090,10,4.54
K091,10,4.54
K093,5000,2270
K094,5000,2270
K095,100,45.4
K096,100,45.4
K097,1,0.454
K098,1,0.454
K099,10,4.54
K100,10,4.54
K101,1,0.454
K102,1,0.454
K103,100,45.4
K104,10,4.54
K105,10,4.54
K106,1,0.454
K107,10,4.54
K108,10,4.54
K109,10,4.54
K110,10,4.54
K111,10,4.54
K112,10,4.54
K113,10,4.54
K114,10,4.54
K115,10,4.54
K116,10,4.54
K117,1,0.454
K118,1,0.454
K123,10,4.54
K124,10,4.54
K125,10,4.54
K126,10,4.54
K131,100,45.4
K132,1000,454
K136,1,0.454
K141,1,0.454
K142,1,0.454
K143,1,0.454
K144,1,0.454
K145,1,0.454
K147,1,0.454
K148,1,0.454
K149,10,4.54
K150,10,4.54
K151,10,4.54
K156,10,4.54
K157,10,4.54
K158,10,4.54
K159,10,4.54
K161,1,0.454
K169,10,4.54
K170,1,0.454
K171,1,0.454
K172,1,0.454
K174,1,0.454
K175,1,0.454
K176,1,0.454
K177,5000,2270
K178,1000,454
K181,1,0.454
